INFO 2024-12-22 03:47:49,798 autoreload 13020 123609276316544 Watching for file changes with StatReloader
DEBUG 2024-12-22 03:47:49,799 autoreload 13020 123609276316544 Waiting for apps ready_event.
DEBUG 2024-12-22 03:47:49,831 autoreload 13020 123609276316544 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/Code/test/rediect/templates with glob **/*.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/.pyenv/versions/test/lib/python3.11/site-packages/django_celery_beat/templates with glob **/*.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/.pyenv/versions/test/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/Code/test/rediect/locale with glob **/*.mo.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/.pyenv/versions/test/lib/python3.11/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/.pyenv/versions/test/lib/python3.11/site-packages/django_celery_beat/locale with glob **/*.mo.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/.pyenv/versions/test/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/Code/test/rediect/apps/users/locale with glob **/*.mo.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/Code/test/rediect/apps/orders/locale with glob **/*.mo.
DEBUG 2024-12-22 03:47:49,840 autoreload 13020 123609276316544 Watching dir /home/lifan/Code/test/rediect/apps/videos/locale with glob **/*.mo.
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1734749044.467262
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/lib-dynload/resource.cpython-311-x86_64-linux-gnu.so first seen with mtime 1734748744.0
